Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
AED,,171.29,,184.01,177.76,2021.04.17 05:30:00
AED,,171.29,,184.01,177.76,2021.04.17 05:30:00
AED,,171.29,,184.01,177.76,2021.04.17 04:47:43
AED,,171.29,,184.01,177.76,2021.04.17 04:47:36
AED,,171.29,,184.01,177.76,2021.04.17 00:00:05
AED,,171.29,,184.01,177.76,2021.04.16 23:38:40
AED,,171.29,,184.01,177.76,2021.04.16 23:38:40
AED,,171.29,,184.01,177.76,2021.04.16 23:38:40
AED,,171.26,,183.98,177.76,2021.04.16 23:01:09
AED,,171.26,,183.98,177.76,2021.04.16 22:55:06
AED,,171.26,,183.98,177.76,2021.04.16 22:26:37
AED,,171.26,,183.98,177.76,2021.04.16 21:11:32
AED,,171.24,,183.96,177.76,2021.04.16 21:01:00
AED,,171.26,,183.98,177.76,2021.04.16 20:44:05
AED,,171.29,,184.01,177.76,2021.04.16 20:16:50
AED,,171.29,,184.01,177.76,2021.04.16 18:30:06
AED,,171.32,,184.05,177.76,2021.04.16 18:16:12
AED,,171.33,,184.06,177.76,2021.04.16 17:51:38
AED,,171.33,,184.06,177.76,2021.04.16 17:48:29
AED,,171.33,,184.06,177.76,2021.04.16 17:30:32
