Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
AUD,502.54,486.92,506.23,508.48,506.09,2021.04.17 05:30:00
AUD,502.54,486.92,506.23,508.48,506.09,2021.04.17 05:30:00
AUD,502.54,486.92,506.23,508.48,506.09,2021.04.17 04:47:43
AUD,502.54,486.92,506.23,508.48,506.09,2021.04.17 04:47:36
AUD,502.54,486.92,506.23,508.48,506.09,2021.04.17 00:00:05
AUD,502.54,486.92,506.23,508.48,506.09,2021.04.16 23:38:40
AUD,502.54,486.92,506.23,508.48,506.09,2021.04.16 23:38:40
AUD,502.54,486.92,506.23,508.48,506.09,2021.04.16 23:38:40
AUD,502.59,486.97,506.28,508.53,506.09,2021.04.16 23:01:09
AUD,502.86,487.23,506.55,508.8,506.09,2021.04.16 22:55:06
AUD,503.11,487.48,506.81,509.06,506.09,2021.04.16 22:26:37
AUD,503.17,487.54,506.87,509.12,506.09,2021.04.16 21:11:32
AUD,503.09,487.46,506.79,509.04,506.09,2021.04.16 21:01:00
AUD,503.24,487.61,506.94,509.19,506.09,2021.04.16 20:44:05
AUD,503.64,487.99,507.35,509.6,506.09,2021.04.16 20:16:50
AUD,503.71,488.06,507.42,509.67,506.09,2021.04.16 18:30:06
AUD,503.78,488.13,507.49,509.74,506.09,2021.04.16 18:16:12
AUD,503.63,487.98,507.34,509.58,506.09,2021.04.16 17:51:38
AUD,503.3,487.67,507.01,509.25,506.09,2021.04.16 17:48:29
AUD,503.3,487.67,507.01,509.25,506.09,2021.04.16 17:30:32
