Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
BRL,,111.48,,126.58,,2021.04.17 05:30:00
BRL,,111.48,,126.58,,2021.04.17 05:30:00
BRL,,111.48,,126.58,,2021.04.17 04:47:43
BRL,,111.48,,126.58,,2021.04.17 04:47:36
BRL,,111.48,,126.58,,2021.04.17 00:00:05
BRL,,111.48,,126.58,,2021.04.16 23:38:40
BRL,,111.48,,126.58,,2021.04.16 23:38:40
BRL,,111.48,,126.58,,2021.04.16 23:38:40
BRL,,111.32,,126.4,,2021.04.16 23:01:09
BRL,,111.39,,126.47,,2021.04.16 22:55:06
BRL,,110.93,,125.95,,2021.04.16 22:26:37
BRL,,110.56,,125.54,,2021.04.16 21:11:32
BRL,,110.52,,125.48,,2021.04.16 21:01:00
BRL,,110.59,,125.57,,2021.04.16 20:44:05
BRL,,111.31,,126.39,,2021.04.16 20:16:50
BRL,,111.45,,126.54,,2021.04.16 18:30:06
BRL,,111.46,,126.55,,2021.04.16 18:16:12
BRL,,111.47,,126.56,,2021.04.16 17:51:38
BRL,,111.47,,126.56,,2021.04.16 17:48:29
BRL,,111.47,,126.56,,2021.04.16 17:30:32
