Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
CAD,519.56,503.16,523.39,525.7,520.5,2021.04.17 05:30:00
CAD,519.56,503.16,523.39,525.7,520.5,2021.04.17 05:30:00
CAD,519.56,503.16,523.39,525.7,520.5,2021.04.17 04:47:43
CAD,519.56,503.16,523.39,525.7,520.5,2021.04.17 04:47:36
CAD,520.06,503.64,523.89,526.21,520.5,2021.04.17 00:00:05
CAD,520.06,503.64,523.89,526.21,520.5,2021.04.16 23:38:40
CAD,520.06,503.64,523.89,526.21,520.5,2021.04.16 23:38:40
CAD,520.06,503.64,523.89,526.21,520.5,2021.04.16 23:38:40
CAD,519.94,503.52,523.77,526.08,520.5,2021.04.16 23:01:09
CAD,519.77,503.36,523.6,525.91,520.5,2021.04.16 22:55:06
CAD,519.56,503.16,523.39,525.7,520.5,2021.04.16 22:26:37
CAD,519.81,503.4,523.64,525.95,520.5,2021.04.16 21:11:32
CAD,519.77,503.36,523.6,525.91,520.5,2021.04.16 21:01:00
CAD,519.81,503.4,523.64,525.95,520.5,2021.04.16 20:44:05
CAD,519.72,503.31,523.55,525.86,520.5,2021.04.16 20:16:50
CAD,519.64,503.23,523.47,525.78,520.5,2021.04.16 18:30:06
CAD,519.84,503.43,523.67,525.98,520.5,2021.04.16 18:16:12
CAD,519.63,503.22,523.46,525.77,520.5,2021.04.16 17:51:38
CAD,519.51,503.11,523.34,525.65,520.5,2021.04.16 17:48:29
CAD,519.63,503.22,523.46,525.77,520.5,2021.04.16 17:30:32
