Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
CHF,706.22,684.43,711.18,714.23,708.12,2021.04.17 05:30:00
CHF,706.22,684.43,711.18,714.23,708.12,2021.04.17 05:30:00
CHF,706.22,684.43,711.18,714.23,708.12,2021.04.17 04:47:43
CHF,706.22,684.43,711.18,714.23,708.12,2021.04.17 04:47:36
CHF,706.52,684.72,711.48,714.53,708.12,2021.04.17 00:00:05
CHF,706.52,684.72,711.48,714.53,708.12,2021.04.16 23:38:40
CHF,706.52,684.72,711.48,714.53,708.12,2021.04.16 23:38:40
CHF,706.52,684.72,711.48,714.53,708.12,2021.04.16 23:38:40
CHF,706.65,684.84,711.61,714.66,708.12,2021.04.16 23:01:09
CHF,706.57,684.77,711.53,714.58,708.12,2021.04.16 22:55:06
CHF,707.26,685.43,712.22,715.28,708.12,2021.04.16 22:26:37
CHF,706.49,684.69,711.45,714.5,708.12,2021.04.16 21:11:32
CHF,706,684.21,710.96,714.01,708.12,2021.04.16 21:01:00
CHF,706.18,684.39,711.14,714.19,708.12,2021.04.16 20:44:05
CHF,707.06,685.24,712.02,715.07,708.12,2021.04.16 20:16:50
CHF,706.91,685.09,711.87,714.92,708.12,2021.04.16 18:30:06
CHF,706.94,685.12,711.9,714.95,708.12,2021.04.16 18:16:12
CHF,707,685.18,711.96,715.01,708.12,2021.04.16 17:51:38
CHF,706.53,684.73,711.49,714.54,708.12,2021.04.16 17:48:29
CHF,706.53,684.73,711.49,714.54,708.12,2021.04.16 17:30:32
