Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.17 05:30:00
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.17 05:30:00
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.17 04:47:43
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.17 04:47:36
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.17 00:00:05
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.16 23:38:40
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.16 23:38:40
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.16 23:38:40
DKK,104.58,101.35,105.42,105.92,105.08,2021.04.16 23:01:09
DKK,104.57,101.34,105.41,105.91,105.08,2021.04.16 22:55:06
DKK,104.67,101.44,105.51,106.01,105.08,2021.04.16 22:26:37
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.16 21:11:32
DKK,104.61,101.38,105.45,105.95,105.08,2021.04.16 21:01:00
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.16 20:44:05
DKK,104.65,101.42,105.49,105.99,105.08,2021.04.16 20:16:50
DKK,104.62,101.39,105.46,105.96,105.08,2021.04.16 18:30:06
DKK,104.64,101.41,105.48,105.98,105.08,2021.04.16 18:16:12
DKK,104.61,101.38,105.45,105.95,105.08,2021.04.16 17:51:38
DKK,104.56,101.33,105.4,105.9,105.08,2021.04.16 17:48:29
DKK,104.58,101.35,105.42,105.92,105.08,2021.04.16 17:30:32
