Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
EUR,778.6,754.41,784.34,786.86,781.37,2021.04.17 05:30:00
EUR,778.6,754.41,784.34,786.86,781.37,2021.04.17 05:30:00
EUR,778.6,754.41,784.34,786.86,781.37,2021.04.17 04:47:43
EUR,778.6,754.41,784.34,786.86,781.37,2021.04.17 04:47:36
EUR,778.6,754.41,784.34,786.86,781.37,2021.04.17 00:00:05
EUR,778.6,754.41,784.34,786.86,781.37,2021.04.16 23:38:40
EUR,778.6,754.41,784.34,786.86,781.37,2021.04.16 23:38:40
EUR,778.6,754.41,784.34,786.86,781.37,2021.04.16 23:38:40
EUR,778.22,754.04,783.96,786.48,781.37,2021.04.16 23:01:09
EUR,778.16,753.98,783.9,786.42,781.37,2021.04.16 22:55:06
EUR,779.07,754.86,784.81,787.34,781.37,2021.04.16 22:26:37
EUR,778.55,754.36,784.29,786.81,781.37,2021.04.16 21:11:32
EUR,778.49,754.3,784.23,786.75,781.37,2021.04.16 21:01:00
EUR,778.61,754.41,784.35,786.87,781.37,2021.04.16 20:44:05
EUR,778.86,754.66,784.6,787.12,781.37,2021.04.16 20:16:50
EUR,778.67,754.47,784.41,786.93,781.37,2021.04.16 18:30:06
EUR,778.79,754.59,784.53,787.05,781.37,2021.04.16 18:16:12
EUR,778.52,754.33,784.26,786.78,781.37,2021.04.16 17:51:38
EUR,778.19,754.01,783.93,786.45,781.37,2021.04.16 17:48:29
EUR,778.32,754.13,784.06,786.58,781.37,2021.04.16 17:30:32
