Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
GBP,899.21,871.27,905.83,909.84,899.92,2021.04.17 05:30:00
GBP,899.21,871.27,905.83,909.84,899.92,2021.04.17 05:30:00
GBP,899.21,871.27,905.83,909.84,899.92,2021.04.17 04:47:43
GBP,899.21,871.27,905.83,909.84,899.92,2021.04.17 04:47:36
GBP,898.36,870.45,904.98,908.98,899.92,2021.04.17 00:00:05
GBP,898.36,870.45,904.98,908.98,899.92,2021.04.16 23:38:40
GBP,898.36,870.45,904.98,908.98,899.92,2021.04.16 23:38:40
GBP,898.36,870.45,904.98,908.98,899.92,2021.04.16 23:38:40
GBP,897.85,869.95,904.46,908.46,899.92,2021.04.16 23:01:09
GBP,897.78,869.88,904.39,908.39,899.92,2021.04.16 22:55:06
GBP,897.72,869.82,904.33,908.33,899.92,2021.04.16 22:26:37
GBP,896.54,868.68,903.14,907.14,899.92,2021.04.16 21:11:32
GBP,896.79,868.92,903.39,907.39,899.92,2021.04.16 21:01:00
GBP,896.93,869.06,903.53,907.53,899.92,2021.04.16 20:44:05
GBP,897.14,869.26,903.74,907.74,899.92,2021.04.16 20:16:50
GBP,895.77,867.94,902.37,906.36,899.92,2021.04.16 18:30:06
GBP,895.9,868.06,902.5,906.49,899.92,2021.04.16 18:16:12
GBP,895.52,867.7,902.12,906.11,899.92,2021.04.16 17:51:38
GBP,894.93,867.13,901.53,905.51,899.92,2021.04.16 17:48:29
GBP,894.48,866.68,901.06,905.05,899.92,2021.04.16 17:30:32
