Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
HKD,83.73,83.07,84.07,84.07,84.06,2021.04.17 05:30:00
HKD,83.73,83.07,84.07,84.07,84.06,2021.04.17 05:30:00
HKD,83.73,83.07,84.07,84.07,84.06,2021.04.17 04:47:43
HKD,83.73,83.07,84.07,84.07,84.06,2021.04.17 04:47:36
HKD,83.74,83.08,84.08,84.08,84.06,2021.04.17 00:00:05
HKD,83.74,83.08,84.08,84.08,84.06,2021.04.16 23:38:40
HKD,83.74,83.08,84.08,84.08,84.06,2021.04.16 23:38:40
HKD,83.74,83.08,84.08,84.08,84.06,2021.04.16 23:38:40
HKD,83.73,83.07,84.07,84.07,84.06,2021.04.16 23:01:09
HKD,83.7,83.04,84.04,84.04,84.06,2021.04.16 22:55:06
HKD,83.7,83.04,84.04,84.04,84.06,2021.04.16 22:26:37
HKD,83.71,83.05,84.05,84.05,84.06,2021.04.16 21:11:32
HKD,83.7,83.04,84.04,84.04,84.06,2021.04.16 21:01:00
HKD,83.7,83.04,84.04,84.04,84.06,2021.04.16 20:44:05
HKD,83.72,83.06,84.06,84.06,84.06,2021.04.16 20:16:50
HKD,83.75,83.09,84.09,84.09,84.06,2021.04.16 18:30:06
HKD,83.77,83.11,84.11,84.11,84.06,2021.04.16 18:16:12
HKD,83.78,83.12,84.12,84.12,84.06,2021.04.16 17:51:38
HKD,83.78,83.12,84.12,84.12,84.06,2021.04.16 17:48:29
HKD,83.78,83.12,84.12,84.12,84.06,2021.04.16 17:30:32
