Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
IDR,,0.0432,,0.0467,,2021.04.17 05:30:00
IDR,,0.0432,,0.0467,,2021.04.17 05:30:00
IDR,,0.0432,,0.0467,,2021.04.17 04:47:43
IDR,,0.0432,,0.0467,,2021.04.17 04:47:36
IDR,,0.0432,,0.0467,,2021.04.17 00:00:05
IDR,,0.0432,,0.0467,,2021.04.16 23:38:40
IDR,,0.0432,,0.0467,,2021.04.16 23:38:40
IDR,,0.0432,,0.0467,,2021.04.16 23:38:40
IDR,,0.0432,,0.0467,,2021.04.16 23:01:09
IDR,,0.0432,,0.0467,,2021.04.16 22:55:06
IDR,,0.0432,,0.0467,,2021.04.16 22:26:37
IDR,,0.0432,,0.0467,,2021.04.16 21:11:32
IDR,,0.0432,,0.0467,,2021.04.16 21:01:00
IDR,,0.0432,,0.0467,,2021.04.16 20:44:05
IDR,,0.0432,,0.0467,,2021.04.16 20:16:50
IDR,,0.0432,,0.0467,,2021.04.16 18:30:06
IDR,,0.0432,,0.0467,,2021.04.16 18:16:12
IDR,,0.0432,,0.0467,,2021.04.16 17:51:38
IDR,,0.0432,,0.0467,,2021.04.16 17:48:29
IDR,,0.0432,,0.0467,,2021.04.16 17:30:32
