Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
INR,,8.2278,,9.2782,,2021.04.17 05:30:00
INR,,8.2278,,9.2782,,2021.04.17 05:30:00
INR,,8.2278,,9.2782,,2021.04.17 04:47:43
INR,,8.2278,,9.2782,,2021.04.17 04:47:36
INR,,8.2278,,9.2782,,2021.04.17 00:00:05
INR,,8.2278,,9.2782,,2021.04.16 23:38:40
INR,,8.2278,,9.2782,,2021.04.16 23:38:40
INR,,8.2278,,9.2782,,2021.04.16 23:38:40
INR,,8.2262,,9.2764,,2021.04.16 23:01:09
INR,,8.2269,,9.2771,,2021.04.16 22:55:06
INR,,8.2277,,9.2781,,2021.04.16 22:26:37
INR,,8.2319,,9.2827,,2021.04.16 21:11:32
INR,,8.2315,,9.2823,,2021.04.16 21:01:00
INR,,8.2332,,9.2842,,2021.04.16 20:44:05
INR,,8.2309,,9.2817,,2021.04.16 20:16:50
INR,,8.2372,,9.2888,,2021.04.16 18:30:06
INR,,8.2413,,9.2933,,2021.04.16 18:16:12
INR,,8.2455,,9.2981,,2021.04.16 17:51:38
INR,,8.2453,,9.2979,,2021.04.16 17:48:29
INR,,8.2331,,9.2841,,2021.04.16 17:30:32
