Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
JPY,5.9729,5.7874,6.0169,6.0262,6.0072,2021.04.17 05:30:00
JPY,5.9729,5.7874,6.0169,6.0262,6.0072,2021.04.17 05:30:00
JPY,5.9729,5.7874,6.0169,6.0262,6.0072,2021.04.17 04:47:43
JPY,5.9735,5.7879,6.0175,6.0268,6.0072,2021.04.17 04:47:36
JPY,5.9724,5.7869,6.0164,6.0257,6.0072,2021.04.17 00:00:05
JPY,5.9724,5.7869,6.0164,6.0257,6.0072,2021.04.16 23:38:40
JPY,5.9724,5.7869,6.0164,6.0257,6.0072,2021.04.16 23:38:40
JPY,5.9724,5.7869,6.0164,6.0257,6.0072,2021.04.16 23:38:40
JPY,5.971,5.7854,6.0149,6.0241,6.0072,2021.04.16 23:01:09
JPY,5.9705,5.7849,6.0144,6.0236,6.0072,2021.04.16 22:55:06
JPY,5.9731,5.7875,6.0171,6.0264,6.0072,2021.04.16 22:26:37
JPY,5.9677,5.7822,6.0115,6.0208,6.0072,2021.04.16 21:11:32
JPY,5.9679,5.7824,6.0117,6.021,6.0072,2021.04.16 21:01:00
JPY,5.9699,5.7844,6.0138,6.023,6.0072,2021.04.16 20:44:05
JPY,5.9729,5.7874,6.0169,6.0262,6.0072,2021.04.16 20:16:50
JPY,5.9729,5.7874,6.0169,6.0262,6.0072,2021.04.16 18:30:06
JPY,5.9733,5.7877,6.0173,6.0266,6.0072,2021.04.16 18:16:12
JPY,5.9732,5.7876,6.0172,6.0265,6.0072,2021.04.16 17:51:38
JPY,5.9721,5.7866,6.0161,6.0254,6.0072,2021.04.16 17:48:29
JPY,5.97,5.7845,6.0139,6.0231,6.0072,2021.04.16 17:30:32
