Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
KRW,0.5815,0.561,0.5861,0.6076,0.5841,2021.04.17 05:30:00
KRW,0.5815,0.561,0.5861,0.6076,0.5841,2021.04.17 05:30:00
KRW,0.5815,0.561,0.5861,0.6076,0.5841,2021.04.17 04:47:43
KRW,0.5815,0.561,0.5861,0.6076,0.5841,2021.04.17 04:47:36
KRW,0.5823,0.5618,0.5869,0.6085,0.5841,2021.04.17 00:00:05
KRW,0.5823,0.5618,0.5869,0.6085,0.5841,2021.04.16 23:38:40
KRW,0.5823,0.5618,0.5869,0.6085,0.5841,2021.04.16 23:38:40
KRW,0.5823,0.5618,0.5869,0.6085,0.5841,2021.04.16 23:38:40
KRW,0.5822,0.5617,0.5868,0.6083,0.5841,2021.04.16 23:01:09
KRW,0.5823,0.5618,0.5869,0.6085,0.5841,2021.04.16 22:55:06
KRW,0.5825,0.562,0.5871,0.6087,0.5841,2021.04.16 22:26:37
KRW,0.5827,0.5622,0.5873,0.6089,0.5841,2021.04.16 21:11:32
KRW,0.5826,0.5621,0.5872,0.6088,0.5841,2021.04.16 21:01:00
KRW,0.5827,0.5622,0.5873,0.6089,0.5841,2021.04.16 20:44:05
KRW,0.5829,0.5624,0.5875,0.6091,0.5841,2021.04.16 20:16:50
KRW,0.5829,0.5624,0.5875,0.6091,0.5841,2021.04.16 18:30:06
KRW,0.5826,0.5621,0.5872,0.6088,0.5841,2021.04.16 18:16:12
KRW,0.5823,0.5618,0.5869,0.6085,0.5841,2021.04.16 17:51:38
KRW,0.5823,0.5618,0.5869,0.6085,0.5841,2021.04.16 17:48:29
KRW,0.5824,0.5619,0.587,0.6086,0.5841,2021.04.16 17:30:32
