Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
MOP,81.39,78.66,81.71,84.43,,2021.04.17 05:30:00
MOP,81.39,78.66,81.71,84.43,,2021.04.17 05:30:00
MOP,81.39,78.66,81.71,84.43,,2021.04.17 04:47:43
MOP,81.39,78.66,81.71,84.43,,2021.04.17 04:47:36
MOP,81.4,78.67,81.72,84.44,,2021.04.17 00:00:05
MOP,81.4,78.67,81.72,84.44,,2021.04.16 23:38:40
MOP,81.4,78.67,81.72,84.44,,2021.04.16 23:38:40
MOP,81.4,78.67,81.72,84.44,,2021.04.16 23:38:40
MOP,81.39,78.66,81.71,84.43,,2021.04.16 23:01:09
MOP,81.36,78.63,81.68,84.4,,2021.04.16 22:55:06
MOP,81.36,78.63,81.68,84.4,,2021.04.16 22:26:37
MOP,81.37,78.64,81.69,84.41,,2021.04.16 21:11:32
MOP,81.36,78.63,81.68,84.4,,2021.04.16 21:01:00
MOP,81.36,78.63,81.68,84.4,,2021.04.16 20:44:05
MOP,81.38,78.65,81.7,84.42,,2021.04.16 20:16:50
MOP,81.41,78.68,81.73,84.45,,2021.04.16 18:30:06
MOP,81.43,78.7,81.75,84.47,,2021.04.16 18:16:12
MOP,81.44,78.71,81.76,84.48,,2021.04.16 17:51:38
MOP,81.44,78.71,81.76,84.48,,2021.04.16 17:48:29
MOP,81.44,78.71,81.76,84.48,,2021.04.16 17:30:32
