Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
MYR,157.45,,158.87,,158.35,2021.04.17 05:30:00
MYR,157.45,,158.87,,158.35,2021.04.17 05:30:00
MYR,157.45,,158.87,,158.35,2021.04.17 04:47:43
MYR,157.45,,158.87,,158.35,2021.04.17 04:47:36
MYR,157.45,,158.87,,158.35,2021.04.17 00:00:05
MYR,157.45,,158.87,,158.35,2021.04.16 23:38:40
MYR,157.45,,158.87,,158.35,2021.04.16 23:38:40
MYR,157.45,,158.87,,158.35,2021.04.16 23:38:40
MYR,157.43,,158.85,,158.35,2021.04.16 23:01:09
MYR,157.43,,158.85,,158.35,2021.04.16 22:55:06
MYR,157.43,,158.85,,158.35,2021.04.16 22:26:37
MYR,157.43,,158.85,,158.35,2021.04.16 21:11:32
MYR,157.4,,158.82,,158.35,2021.04.16 21:01:00
MYR,157.43,,158.85,,158.35,2021.04.16 20:44:05
MYR,157.45,,158.87,,158.35,2021.04.16 20:16:50
MYR,157.45,,158.87,,158.35,2021.04.16 18:30:06
MYR,157.47,,158.89,,158.35,2021.04.16 18:16:12
MYR,157.49,,158.91,,158.35,2021.04.16 17:51:38
MYR,157.49,,158.91,,158.35,2021.04.16 17:48:29
MYR,157.49,,158.91,,158.35,2021.04.16 17:30:32
