Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
NOK,77.61,75.21,78.23,78.61,77.9,2021.04.17 05:30:00
NOK,77.61,75.21,78.23,78.61,77.9,2021.04.17 05:30:00
NOK,77.61,75.21,78.23,78.61,77.9,2021.04.17 04:47:43
NOK,77.61,75.21,78.23,78.61,77.9,2021.04.17 04:47:36
NOK,77.65,75.25,78.27,78.65,77.9,2021.04.17 00:00:05
NOK,77.65,75.25,78.27,78.65,77.9,2021.04.16 23:38:40
NOK,77.65,75.25,78.27,78.65,77.9,2021.04.16 23:38:40
NOK,77.65,75.25,78.27,78.65,77.9,2021.04.16 23:38:40
NOK,77.51,75.12,78.13,78.5,77.9,2021.04.16 23:01:09
NOK,77.61,75.21,78.23,78.61,77.9,2021.04.16 22:55:06
NOK,77.69,75.29,78.31,78.69,77.9,2021.04.16 22:26:37
NOK,77.55,75.15,78.17,78.55,77.9,2021.04.16 21:11:32
NOK,77.59,75.19,78.21,78.59,77.9,2021.04.16 21:01:00
NOK,77.62,75.22,78.24,78.62,77.9,2021.04.16 20:44:05
NOK,77.68,75.28,78.3,78.68,77.9,2021.04.16 20:16:50
NOK,77.6,75.2,78.22,78.6,77.9,2021.04.16 18:30:06
NOK,77.53,75.14,78.15,78.52,77.9,2021.04.16 18:16:12
NOK,77.53,75.14,78.15,78.52,77.9,2021.04.16 17:51:38
NOK,77.47,75.08,78.09,78.46,77.9,2021.04.16 17:48:29
NOK,77.48,75.09,78.1,78.47,77.9,2021.04.16 17:30:32
