Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
NZD,464.16,449.84,467.42,473.85,468.47,2021.04.17 05:30:00
NZD,464.16,449.84,467.42,473.85,468.47,2021.04.17 05:30:00
NZD,464.16,449.84,467.42,473.85,468.47,2021.04.17 04:47:43
NZD,464.16,449.84,467.42,473.85,468.47,2021.04.17 04:47:36
NZD,463.44,449.14,466.7,473.12,468.47,2021.04.17 00:00:05
NZD,463.44,449.14,466.7,473.12,468.47,2021.04.16 23:38:40
NZD,463.44,449.14,466.7,473.12,468.47,2021.04.16 23:38:40
NZD,463.44,449.14,466.7,473.12,468.47,2021.04.16 23:38:40
NZD,463.76,449.45,467.02,473.44,468.47,2021.04.16 23:01:09
NZD,464.02,449.7,467.28,473.71,468.47,2021.04.16 22:55:06
NZD,464.74,450.4,468,474.44,468.47,2021.04.16 22:26:37
NZD,464.93,450.58,468.19,474.63,468.47,2021.04.16 21:11:32
NZD,464.73,450.39,467.99,474.43,468.47,2021.04.16 21:01:00
NZD,464.87,450.52,468.13,474.57,468.47,2021.04.16 20:44:05
NZD,465.4,451.03,468.66,475.11,468.47,2021.04.16 20:16:50
NZD,465.52,451.16,468.8,475.24,468.47,2021.04.16 18:30:06
NZD,465.52,451.16,468.8,475.24,468.47,2021.04.16 18:16:12
NZD,465.31,450.95,468.57,475.02,468.47,2021.04.16 17:51:38
NZD,465.05,450.7,468.31,474.75,468.47,2021.04.16 17:48:29
NZD,464.98,450.63,468.24,474.68,468.47,2021.04.16 17:30:32
