Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
RUB,8.57,8.04,8.63,8.96,8.58,2021.04.17 05:30:00
RUB,8.57,8.04,8.63,8.96,8.58,2021.04.17 05:30:00
RUB,8.57,8.04,8.63,8.96,8.58,2021.04.17 04:47:43
RUB,8.57,8.04,8.63,8.96,8.58,2021.04.17 04:47:36
RUB,8.58,8.05,8.64,8.97,8.58,2021.04.17 00:00:05
RUB,8.58,8.05,8.64,8.97,8.58,2021.04.16 23:38:40
RUB,8.58,8.05,8.64,8.97,8.58,2021.04.16 23:38:40
RUB,8.58,8.05,8.64,8.97,8.58,2021.04.16 23:38:40
RUB,8.58,8.05,8.64,8.97,8.58,2021.04.16 23:01:09
RUB,8.58,8.05,8.64,8.97,8.58,2021.04.16 22:55:06
RUB,8.58,8.05,8.64,8.97,8.58,2021.04.16 22:26:37
RUB,8.56,8.03,8.62,8.95,8.58,2021.04.16 21:11:32
RUB,8.55,8.02,8.61,8.94,8.58,2021.04.16 21:01:00
RUB,8.56,8.03,8.62,8.95,8.58,2021.04.16 20:44:05
RUB,8.56,8.03,8.62,8.95,8.58,2021.04.16 20:16:50
RUB,8.58,8.05,8.64,8.97,8.58,2021.04.16 18:30:06
RUB,8.57,8.04,8.63,8.96,8.58,2021.04.16 18:16:12
RUB,8.57,8.04,8.63,8.96,8.58,2021.04.16 17:51:38
RUB,8.58,8.05,8.64,8.97,8.58,2021.04.16 17:48:29
RUB,8.57,8.04,8.63,8.96,8.58,2021.04.16 17:30:32
