Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
SAR,,168.99,,178.65,174.08,2021.04.17 05:30:00
SAR,,168.99,,178.65,174.08,2021.04.17 05:30:00
SAR,,168.99,,178.65,174.08,2021.04.17 04:47:43
SAR,,168.99,,178.65,174.08,2021.04.17 04:47:36
SAR,,168.99,,178.65,174.08,2021.04.17 00:00:05
SAR,,168.99,,178.65,174.08,2021.04.16 23:38:40
SAR,,168.99,,178.65,174.08,2021.04.16 23:38:40
SAR,,168.99,,178.65,174.08,2021.04.16 23:38:40
SAR,,168.96,,178.62,174.08,2021.04.16 23:01:09
SAR,,168.96,,178.62,174.08,2021.04.16 22:55:06
SAR,,168.96,,178.62,174.08,2021.04.16 22:26:37
SAR,,168.98,,178.64,174.08,2021.04.16 21:11:32
SAR,,168.96,,178.62,174.08,2021.04.16 21:01:00
SAR,,168.99,,178.65,174.08,2021.04.16 20:44:05
SAR,,169.01,,178.67,174.08,2021.04.16 20:16:50
SAR,,169.01,,178.67,174.08,2021.04.16 18:30:06
SAR,,169.04,,178.7,174.08,2021.04.16 18:16:12
SAR,,169.05,,178.71,174.08,2021.04.16 17:51:38
SAR,,169.05,,178.71,174.08,2021.04.16 17:48:29
SAR,,169.05,,178.71,174.08,2021.04.16 17:30:32
