Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
SEK,76.98,74.6,77.6,77.97,77.3,2021.04.17 05:30:00
SEK,76.98,74.6,77.6,77.97,77.3,2021.04.17 05:30:00
SEK,76.98,74.6,77.6,77.97,77.3,2021.04.17 04:47:43
SEK,76.98,74.6,77.6,77.97,77.3,2021.04.17 04:47:36
SEK,76.93,74.56,77.55,77.92,77.3,2021.04.17 00:00:05
SEK,76.93,74.56,77.55,77.92,77.3,2021.04.16 23:38:40
SEK,76.93,74.56,77.55,77.92,77.3,2021.04.16 23:38:40
SEK,76.93,74.56,77.55,77.92,77.3,2021.04.16 23:38:40
SEK,76.9,74.53,77.52,77.89,77.3,2021.04.16 23:01:09
SEK,76.94,74.57,77.56,77.93,77.3,2021.04.16 22:55:06
SEK,77.03,74.65,77.65,78.02,77.3,2021.04.16 22:26:37
SEK,76.95,74.58,77.57,77.94,77.3,2021.04.16 21:11:32
SEK,76.97,74.59,77.59,77.96,77.3,2021.04.16 21:01:00
SEK,76.96,74.58,77.58,77.95,77.3,2021.04.16 20:44:05
SEK,77.02,74.64,77.64,78.01,77.3,2021.04.16 20:16:50
SEK,77.07,74.69,77.69,78.06,77.3,2021.04.16 18:30:06
SEK,77.07,74.69,77.69,78.06,77.3,2021.04.16 18:16:12
SEK,77.06,74.68,77.68,78.05,77.3,2021.04.16 17:51:38
SEK,77.01,74.63,77.63,78,77.3,2021.04.16 17:48:29
SEK,76.99,74.61,77.61,77.98,77.3,2021.04.16 17:30:32
