Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
SGD,486.83,471.81,490.25,492.69,489.24,2021.04.17 05:30:00
SGD,486.83,471.81,490.25,492.69,489.24,2021.04.17 05:30:00
SGD,486.83,471.81,490.25,492.69,489.24,2021.04.17 04:47:43
SGD,486.86,471.84,490.28,492.72,489.24,2021.04.17 04:47:36
SGD,486.94,471.91,490.36,492.8,489.24,2021.04.17 00:00:05
SGD,486.94,471.91,490.36,492.8,489.24,2021.04.16 23:38:40
SGD,486.94,471.91,490.36,492.8,489.24,2021.04.16 23:38:40
SGD,486.94,471.91,490.36,492.8,489.24,2021.04.16 23:38:40
SGD,486.93,471.9,490.35,492.79,489.24,2021.04.16 23:01:09
SGD,487.01,471.98,490.43,492.87,489.24,2021.04.16 22:55:06
SGD,487.23,472.19,490.65,493.1,489.24,2021.04.16 22:26:37
SGD,487.12,472.09,490.54,492.99,489.24,2021.04.16 21:11:32
SGD,487.08,472.05,490.5,492.94,489.24,2021.04.16 21:01:00
SGD,487.15,472.12,490.57,493.02,489.24,2021.04.16 20:44:05
SGD,487.34,472.3,490.76,493.21,489.24,2021.04.16 20:16:50
SGD,487.27,472.23,490.69,493.14,489.24,2021.04.16 18:30:06
SGD,487.34,472.3,490.76,493.21,489.24,2021.04.16 18:16:12
SGD,487.3,472.26,490.72,493.17,489.24,2021.04.16 17:51:38
SGD,487.23,472.19,490.65,493.1,489.24,2021.04.16 17:48:29
SGD,487.16,472.13,490.58,493.03,489.24,2021.04.16 17:30:32
