Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
THB,20.83,20.18,20.99,21.66,20.89,2021.04.17 05:30:00
THB,20.83,20.18,20.99,21.66,20.89,2021.04.17 05:30:00
THB,20.83,20.18,20.99,21.66,20.89,2021.04.17 04:47:43
THB,20.83,20.18,20.99,21.66,20.89,2021.04.17 04:47:36
THB,20.82,20.17,20.98,21.65,20.89,2021.04.17 00:00:05
THB,20.82,20.17,20.98,21.65,20.89,2021.04.16 23:38:40
THB,20.82,20.17,20.98,21.65,20.89,2021.04.16 23:38:40
THB,20.82,20.17,20.98,21.65,20.89,2021.04.16 23:38:40
THB,20.81,20.16,20.97,21.64,20.89,2021.04.16 23:01:09
THB,20.8,20.15,20.96,21.63,20.89,2021.04.16 22:55:06
THB,20.82,20.17,20.98,21.65,20.89,2021.04.16 22:26:37
THB,20.82,20.17,20.98,21.65,20.89,2021.04.16 21:11:32
THB,20.82,20.17,20.98,21.65,20.89,2021.04.16 21:01:00
THB,20.82,20.17,20.98,21.65,20.89,2021.04.16 20:44:05
THB,20.8,20.15,20.96,21.63,20.89,2021.04.16 20:16:50
THB,20.8,20.15,20.96,21.63,20.89,2021.04.16 18:30:06
THB,20.8,20.15,20.96,21.63,20.89,2021.04.16 18:16:12
THB,20.8,20.15,20.96,21.63,20.89,2021.04.16 17:51:38
THB,20.8,20.15,20.96,21.63,20.89,2021.04.16 17:48:29
THB,20.78,20.14,20.94,21.61,20.89,2021.04.16 17:30:32
