Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
TRY,80.47,76.52,81.11,93.13,81.3,2021.04.17 05:30:00
TRY,80.47,76.52,81.11,93.13,81.3,2021.04.17 05:30:00
TRY,80.47,76.52,81.11,93.13,81.3,2021.04.17 04:47:43
TRY,80.47,76.52,81.11,93.13,81.3,2021.04.17 04:47:36
TRY,80.47,76.52,81.11,93.13,81.3,2021.04.17 00:00:05
TRY,80.47,76.52,81.11,93.13,81.3,2021.04.16 23:38:40
TRY,80.47,76.52,81.11,93.13,81.3,2021.04.16 23:38:40
TRY,80.47,76.52,81.11,93.13,81.3,2021.04.16 23:38:40
TRY,80.46,76.51,81.1,93.12,81.3,2021.04.16 23:01:09
TRY,80.47,76.52,81.11,93.13,81.3,2021.04.16 22:55:06
TRY,80.5,76.55,81.14,93.17,81.3,2021.04.16 22:26:37
TRY,80.27,76.33,80.91,92.9,81.3,2021.04.16 21:11:32
TRY,80.43,76.49,81.07,93.09,81.3,2021.04.16 21:01:00
TRY,80.43,76.49,81.07,93.09,81.3,2021.04.16 20:44:05
TRY,80.49,76.54,81.13,93.16,81.3,2021.04.16 20:16:50
TRY,80.52,76.57,81.16,93.19,81.3,2021.04.16 18:30:06
TRY,80.55,76.6,81.19,93.23,81.3,2021.04.16 18:16:12
TRY,80.52,76.57,81.16,93.19,81.3,2021.04.16 17:51:38
TRY,80.55,76.6,81.19,93.23,81.3,2021.04.16 17:48:29
TRY,80.58,76.63,81.22,93.26,81.3,2021.04.16 17:30:32
