Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
TWD,,22.26,,24.12,,2021.04.17 05:30:00
TWD,,22.26,,24.12,,2021.04.17 05:30:00
TWD,,22.26,,24.12,,2021.04.17 04:47:43
TWD,,22.26,,24.12,,2021.04.17 04:47:36
TWD,,22.2,,24.05,,2021.04.17 00:00:05
TWD,,22.2,,24.05,,2021.04.16 23:38:40
TWD,,22.2,,24.05,,2021.04.16 23:38:40
TWD,,22.2,,24.05,,2021.04.16 23:38:40
TWD,,22.21,,24.06,,2021.04.16 23:01:09
TWD,,22.21,,24.06,,2021.04.16 22:55:06
TWD,,22.22,,24.07,,2021.04.16 22:26:37
TWD,,22.2,,24.05,,2021.04.16 21:11:32
TWD,,22.21,,24.06,,2021.04.16 21:01:00
TWD,,22.21,,24.06,,2021.04.16 20:44:05
TWD,,22.21,,24.06,,2021.04.16 20:16:50
TWD,,22.2,,24.05,,2021.04.16 18:30:06
TWD,,22.21,,24.06,,2021.04.16 18:16:12
TWD,,22.21,,24.06,,2021.04.16 17:51:38
TWD,,22.2,,24.05,,2021.04.16 17:48:29
TWD,,22.21,,24.06,,2021.04.16 17:30:32
