Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
USD,650.77,645.48,653.53,653.53,652.88,2021.04.17 05:30:00
USD,650.77,645.48,653.53,653.53,652.88,2021.04.17 05:30:00
USD,650.77,645.48,653.53,653.53,652.88,2021.04.17 04:47:43
USD,650.77,645.48,653.53,653.53,652.88,2021.04.17 04:47:36
USD,650.77,645.48,653.53,653.53,652.88,2021.04.17 00:00:05
USD,650.77,645.48,653.53,653.53,652.88,2021.04.16 23:38:40
USD,650.77,645.48,653.53,653.53,652.88,2021.04.16 23:38:40
USD,650.77,645.48,653.53,653.53,652.88,2021.04.16 23:38:40
USD,650.67,645.38,653.43,653.43,652.88,2021.04.16 23:01:09
USD,650.67,645.38,653.43,653.43,652.88,2021.04.16 22:55:06
USD,650.67,645.38,653.43,653.43,652.88,2021.04.16 22:26:37
USD,650.67,645.38,653.43,653.43,652.88,2021.04.16 21:11:32
USD,650.57,645.28,653.33,653.33,652.88,2021.04.16 21:01:00
USD,650.67,645.38,653.43,653.43,652.88,2021.04.16 20:44:05
USD,650.77,645.48,653.53,653.53,652.88,2021.04.16 20:16:50
USD,650.77,645.48,653.53,653.53,652.88,2021.04.16 18:30:06
USD,650.87,645.58,653.63,653.63,652.88,2021.04.16 18:16:12
USD,650.92,645.63,653.68,653.68,652.88,2021.04.16 17:51:38
USD,650.92,645.63,653.68,653.68,652.88,2021.04.16 17:48:29
USD,650.92,645.63,653.68,653.68,652.88,2021.04.16 17:30:32
