Currency Name,Buying Rate,Cash Buying Rate,Selling Rate,Cash Selling Rate,Middle Rate,Pub Time
ZAR,45.32,41.84,45.62,49.18,46.09,2021.04.17 05:30:00
ZAR,45.32,41.84,45.62,49.18,46.09,2021.04.17 05:30:00
ZAR,45.32,41.84,45.62,49.18,46.09,2021.04.17 04:47:43
ZAR,45.32,41.84,45.62,49.18,46.09,2021.04.17 04:47:36
ZAR,45.32,41.84,45.62,49.18,46.09,2021.04.17 00:00:05
ZAR,45.32,41.84,45.62,49.18,46.09,2021.04.16 23:38:40
ZAR,45.32,41.84,45.62,49.18,46.09,2021.04.16 23:38:40
ZAR,45.32,41.84,45.62,49.18,46.09,2021.04.16 23:38:40
ZAR,45.36,41.87,45.66,49.23,46.09,2021.04.16 23:01:09
ZAR,45.32,41.84,45.62,49.18,46.09,2021.04.16 22:55:06
ZAR,45.39,41.9,45.69,49.26,46.09,2021.04.16 22:26:37
ZAR,45.43,41.94,45.73,49.3,46.09,2021.04.16 21:11:32
ZAR,45.42,41.93,45.72,49.29,46.09,2021.04.16 21:01:00
ZAR,45.49,42,45.81,49.38,46.09,2021.04.16 20:44:05
ZAR,45.54,42.05,45.86,49.43,46.09,2021.04.16 20:16:50
ZAR,45.68,42.18,46,49.59,46.09,2021.04.16 18:30:06
ZAR,45.6,42.1,45.92,49.5,46.09,2021.04.16 18:16:12
ZAR,45.61,42.11,45.93,49.51,46.09,2021.04.16 17:51:38
ZAR,45.6,42.1,45.92,49.5,46.09,2021.04.16 17:48:29
ZAR,45.56,42.07,45.88,49.46,46.09,2021.04.16 17:30:32
